provincia,region
Cotabambas, Apurímac
Cotabambas, Apurímac
MAR, MAR
Huamanga, Ayacucho
Paruro, Cusco
Acomayo, Cusco
Pallasca, Ancash
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Islay, Arequipa
Chanchamayo, Junín
MAR, MAR
Arequipa, Arequipa
Andahuaylas, Apurímac
Arequipa, Arequipa
La Convención, Cusco
MAR, MAR
Paruro, Cusco
Páucar del Sara Sara, Ayacucho
MAR, MAR
Ica, Ica
Canchis, Cusco
Sechura, Piura
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Recuay, Ancash
Sánchez Carrión, La Libertad
Sánchez Carrión, La Libertad
MAR, MAR
Azángaro, Puno
MAR, MAR
MAR, MAR
Tarma, Junín
MAR, MAR
Huaral, Lima
MAR, MAR
MAR, MAR
Tacna, Tacna
Canas, Cusco
Cusco, Cusco
Sullana, Piura
Arequipa, Arequipa
Tacna, Tacna
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Huarochirí, Lima
MAR, MAR
MAR, MAR
Huaytará, Huancavelica
Huaytará, Huancavelica
MAR, MAR
MAR, MAR
La Unión, Arequipa
Arequipa, Arequipa
Huancabamba, Piura
Camaná, Arequipa
Arequipa, Arequipa
Huánuco, Huánuco
Moyobamba, San Martín
MAR, MAR
Huaytará, Huancavelica
Islay, Arequipa
MAR, MAR
Arequipa, Arequipa
Tacna, Tacna
MAR, MAR
MAR, MAR
Oxapampa, Pasco
MAR, MAR
Piura, Piura
Huaytará, Huancavelica
MAR, MAR
MAR, MAR
Huaytará, Huancavelica
MAR, MAR
Lucanas, Ayacucho
MAR, MAR
MAR, MAR
Sullana, Piura
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Arequipa, Arequipa
MAR, MAR
Arequipa, Arequipa
MAR, MAR
Arequipa, Arequipa
MAR, MAR
Tacna, Tacna
Cañete, Lima
Moyobamba, San Martín
MAR, MAR
Cañete, Lima
MAR, MAR
Mariscal Nieto, Moquegua
MAR, MAR
Junín, Junín
MAR, MAR
MAR, MAR
Tacna, Tacna
MAR, MAR
MAR, MAR
MAR, MAR
Mariscal Nieto, Moquegua
MAR, MAR
Sechura, Piura
Cañete, Lima
Cañete, Lima
Huallaga, San Martín
Arequipa, Arequipa
Rodríguez de Mendoza, Amazonas
Huallaga, San Martín
Arequipa, Arequipa
MAR, MAR
Huallaga, San Martín
Huallaga, San Martín
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
Mariscal Nieto, Moquegua
MAR, MAR
Cajamarca, Cajamarca
Nasca, Ica
Chincha, Ica
MAR, MAR
MAR, MAR
Cañete, Lima
MAR, MAR
Mariscal Nieto, Moquegua
Huaytará, Huancavelica
MAR, MAR
Huaytará, Huancavelica
Rodríguez de Mendoza, Amazonas
Arequipa, Arequipa
MAR, MAR
Oxapampa, Pasco
Nasca, Ica
Oxapampa, Pasco
MAR, MAR
MAR, MAR
Concepción, Junín
MAR, MAR
Cañete, Lima
Bongará, Amazonas
MAR, MAR
Cusco, Cusco
MAR, MAR
Junín, Junín
MAR, MAR
MAR, MAR
MAR, MAR
MAR, MAR
